    711    12   257     datakind beginning-row linenumbers
 ----------------------------------------------------------------
                     David A. Shirley's group
               Pennsylvania State University (PSU)
           Lawrence Berkeley National Laboratory (LBNL)
      Copyright (c) 1995-1996 DAS group. All rights reserved
 ----------------------------------------------------------------

         1              1 phase shift data

         k   p(l=0)   p(l=1)   p(l=2)   p(l=3)   p(l=4)   p(l=5)   p(l=6)   p(l=7)  p(l=08)  p(l=09)
        10              lnum
   15.5000   1.1559  -0.5621  -2.3027   2.4990   1.6236   1.0038   0.7165   0.3866   0.1281   0.0311
   15.5500   1.1472  -0.5696  -2.3073   2.4996   1.6265   1.0058   0.7190   0.3931   0.1320   0.0324
   15.6000   1.1387  -0.5770  -2.3119   2.5002   1.6293   1.0078   0.7214   0.3995   0.1359   0.0337
   15.6500   1.1302  -0.5844  -2.3163   2.5009   1.6320   1.0099   0.7237   0.4058   0.1399   0.0350
   15.7000   1.1217  -0.5916  -2.3207   2.5016   1.6345   1.0121   0.7259   0.4121   0.1440   0.0363
   15.7500   1.1133  -0.5989  -2.3251   2.5024   1.6369   1.0144   0.7280   0.4183   0.1481   0.0377
   15.8000   1.1050  -0.6060  -2.3293   2.5033   1.6392   1.0167   0.7299   0.4244   0.1524   0.0392
   15.8500   1.0968  -0.6131  -2.3335   2.5042   1.6413   1.0191   0.7318   0.4304   0.1566   0.0406
   15.9000   1.0886  -0.6201  -2.3376   2.5051   1.6433   1.0216   0.7336   0.4364   0.1610   0.0422
   15.9500   1.0805  -0.6271  -2.3417   2.5061   1.6453   1.0241   0.7353   0.4423   0.1654   0.0437
